date,ticker,open,high,low,close,adj_close,ajexdi,volume
2024-12-23,MSFT,436.74,437.65,432.83,435.25,435.2500,1,19103020
2024-12-23,NVDA,136.28,139.79,135.1201,139.67,139.6700,1,175260300
2024-12-23,WMT,91.5,91.5,88.91,90.35,90.3500,1,26178550
2024-12-23,XOM,105.31,106.6,104.92,106.3,106.3000,1,12271980
2024-12-24,AAPL,255.49,258.21,255.29,258.2,258.2000,1,23234710
2024-12-24,AMZN,226.94,229.14,226.13,229.05,229.0500,1,15007500
2024-12-24,GOOGL,194.84,196.11,193.78,196.11,196.1100,1,10403260
2024-12-24,JNJ,145,145.85,144.3325,145.85,145.8500,1,3164071
2024-12-24,JPM,239.43,242.4922,239.07,242.31,242.3100,1,3729092
2024-12-24,META,602.715,607.99,599.2849,607.75,607.7500,1,4726056
2024-12-24,MSFT,434.65,439.6,434.19,439.33,439.3300,1,7164543
2024-12-24,NVDA,140,141.9,138.65,140.22,140.2200,1,105157000
2024-12-24,WMT,90.37,92.68,90.35,92.68,92.6800,1,8992427
2024-12-24,XOM,106.52,107.19,105.7,106.4,106.4000,1,7806997
2024-12-26,AAPL,258.19,260.1,257.63,259.02,259.0200,1,27221190
2024-12-26,AMZN,228.5,228.5,226.6706,227.05,227.0500,1,16127880
2024-12-26,GOOGL,195.15,196.748,194.375,195.6,195.6000,1,12015390
2024-12-26,JNJ,145.51,146.37,145.09,145.58,145.5800,1,4655669
2024-12-26,JPM,241.43,243.26,240.79,243.14,243.1400,1,4451444
2024-12-26,META,605.48,606.3,598.94,603.35,603.3500,1,6069323
2024-12-26,MSFT,439.08,440.94,436.63,438.11,438.1100,1,8178808
2024-12-26,NVDA,139.7,140.85,137.73,139.93,139.9300,1,115713700
2024-12-26,WMT,92.54,92.875,92.17,92.79,92.7900,1,10991720
2024-12-26,XOM,106.52,107.03,105.94,106.49,106.4900,1,9651944
2024-12-27,AAPL,257.83,258.7,253.06,255.59,255.5900,1,42267220
2024-12-27,AMZN,225.6,226.03,220.9,223.75,223.7500,1,27332940
2024-12-27,GOOGL,194.95,195.32,190.65,192.76,192.7600,1,18864270
2024-12-27,JNJ,144.87,146.6,144.68,145.05,145.0500,1,5587129
2024-12-27,JPM,242.72,243.39,240.04,241.17,241.1700,1,5729155
2024-12-27,META,599.41,601.85,589.8,599.81,599.8100,1,8070518
2024-12-27,MSFT,434.6,435.22,426.35,430.53,430.5300,1,18086530
2024-12-27,NVDA,138.55,139.02,134.71,137.01,137.0100,1,170163200
2024-12-27,WMT,92.13,92.35,91.03,91.66,91.6600,1,11364120
2024-12-27,XOM,106.3,107.99,105.77,106.48,106.4800,1,11928560
2024-12-30,AAPL,252.23,253.5,250.75,252.2,252.2000,1,35426400
